replicate,final_population,dispersalKernel,disturbanceIntensity
1,47517.88495260629,0.05,0.1
2,54171.692902561,0.05,0.1
3,50658.17325395234,0.05,0.1
4,50192.77545816449,0.05,0.1
5,47992.09963431053,0.05,0.1
6,47698.7284096015,0.05,0.1
7,50193.120228116386,0.05,0.1
8,45507.32483551067,0.05,0.1
9,53124.94036176355,0.05,0.1
10,53440.388424350385,0.05,0.1
11,47134.10031298245,0.05,0.1
12,48584.12464278716,0.05,0.1
13,55404.77647194704,0.05,0.1
14,51174.06358857775,0.05,0.1
15,52587.65205482887,0.05,0.1
16,45932.25369031909,0.05,0.1
17,49444.87929116493,0.05,0.1
18,49982.1963551824,0.05,0.1
19,52987.75268292297,0.05,0.1
20,55830.77532291777,0.05,0.1
21,46652.9324698044,0.05,0.1
22,50846.088268357424,0.05,0.1
23,49289.15283174085,0.05,0.1
24,48039.58118359435,0.05,0.1
25,52907.587039308884,0.05,0.1
26,50598.15214166145,0.05,0.1
27,52328.25022695993,0.05,0.1
28,48740.69748131123,0.05,0.1
29,48255.76697576516,0.05,0.1
30,47891.31378273848,0.05,0.1
